Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
APD,Air Products and Chemicals Inc,Basic Materials,Specialty Chemicals,62711332864.0,62.71B
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,62639214592.0,62.64B
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,62375444480.0,62.38B
GWW,WW Grainger Inc,Industrials,Industrial Distribution,62126329856.0,62.13B
TGT,Target Corp,Consumer Defensive,Discount Stores,61420261376.0,61.42B
TEL,TE Connectivity PLC,Technology,Electronic Components,61409042432.0,61.41B
NUE,Nucor Corp,Basic Materials,Steel,60658802688.0,60.66B
SRE,Sempra,Utilities,Utilities - Diversified,60330655744.0,60.33B
AFL,Aflac Inc,Financial Services,Insurance - Life,59958423552.0,59.96B
KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,59927879680.0,59.93B
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,59727695872.0,59.73B
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,59132841984.0,59.13B
TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream,58511929344.0,58.51B
O,Realty Income Corp,Real Estate,REIT - Retail,58485932032.0,58.49B
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,58065879040.0,58.07B
LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,57339723776.0,57.34B
PSA,Public Storage,Real Estate,REIT - Industrial,57217380352.0,57.22B
MET,MetLife Inc,Financial Services,Insurance - Life,57162924032.0,57.16B
OKE,ONEOK Inc,Energy,Oil & Gas Midstream,57074671616.0,57.07B
ALL,Allstate Corp/The,Financial Services,Insurance - Property & Casualty,57052200960.0,57.05B
OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P,56236646400.0,56.24B
AJG,Arthur J Gallagher & Co,Financial Services,Insurance Brokers,56190648320.0,56.19B
COR,Cencora Inc,Healthcare,Medical Distribution,54802014208.0,54.80B
DAL,Delta Air Lines Inc,Industrials,Airlines,54569951232.0,54.57B
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,54048727040.0,54.05B
FAST,Fastenal Co,Industrials,Industrial Distribution,53463994368.0,53.46B
CAH,Cardinal Health Inc,Healthcare,Medical Distribution,52426981376.0,52.43B
DVN,Devon Energy Corp,Energy,Oil & Gas E&P,52260696064.0,52.26B
AME,AMETEK Inc,Industrials,Specialty Industrial Machinery,52056584192.0,52.06B
MCHP,Microchip Technology Inc,Technology,Semiconductors,51627630592.0,51.63B
ROK,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery,51112574976.0,51.11B
ODFL,Old Dominion Freight Line Inc,Industrials,Trucking,51108208640.0,51.11B
AZO,AutoZone Inc,Consumer Cyclical,Auto Parts,51010715648.0,51.01B
EA,Electronic Arts Inc,Communication Services,Electronic Gaming & Multimedia,50970255360.0,50.97B
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,50923950080.0,50.92B
ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,50875809792.0,50.88B
NDAQ,Nasdaq Inc,Financial Services,Financial Data & Stock Exchanges,50321821696.0,50.32B
VST,Vistra Corp,Utilities,Utilities - Independent Power Producers,49909751808.0,49.91B
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,48415162368.0,48.42B
XEL,Xcel Energy Inc,Utilities,Utilities - Regulated Electric,49454637056.0,49.45B
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,49006338048.0,49.01B
EBAY,eBay Inc,Consumer Cyclical,Internet Retail,48222838784.0,48.22B
EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,47282446336.0,47.28B
STT,State Street Corp,Financial Services,Asset Management,46394462208.0,46.39B
GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments,45919064064.0,45.92B
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships,70307168256.0,70.31B
HUM,Humana Inc,Healthcare,Healthcare Plans,45529722880.0,45.53B
ON,ON Semiconductor Corp,Technology,Semiconductors,45408325632.0,45.41B
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,44998434816.0,45.00B
IDXX,IDEXX Laboratories Inc,Healthcare,Diagnostics & Research,44243898368.0,44.24B
DHI,DR Horton Inc,Consumer Cyclical,Residential Construction,43696783360.0,43.70B
MSCI,MSCI Inc,Financial Services,Financial Data & Stock Exchanges,43572555776.0,43.57B
KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic,43143340032.0,43.14B
YUM,Yum! Brands Inc,Consumer Cyclical,Restaurants,42531110912.0,42.53B
COIN,Coinbase Global Inc,Financial Services,Financial Data & Stock Exchanges,42095759360.0,42.10B
ADSK,Autodesk Inc,Technology,Software - Application,41897549824.0,41.90B
XYZ,Block Inc,Technology,Software - Infrastructure,41376980992.0,41.38B
CMG,Chipotle Mexican Grill Inc,Consumer Cyclical,Restaurants,41342513152.0,41.34B
AMP,Ameriprise Financial Inc,Financial Services,Asset Management,41274449920.0,41.27B
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities,41129959424.0,41.13B
STLD,Steel Dynamics Inc,Basic Materials,Steel,40777609216.0,40.78B
JBL,Jabil Inc,Technology,Electronic Components,40599519232.0,40.60B
IBKR,Interactive Brokers Group Inc,Financial Services,Capital Markets,154033930240.0,154.03B
CCL,Carnival Corp,Consumer Cyclical,Travel Services,40418373632.0,40.42B
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies,40295030784.0,40.30B
CCI,Crown Castle Inc,Real Estate,REIT - Specialty,40223416320.0,40.22B
AIG,American International Group Inc,Financial Services,Insurance - Diversified,40157818880.0,40.16B
LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,40145285120.0,40.15B
KR,Kroger Co/The,Consumer Defensive,Grocery Stores,39897640960.0,39.90B
PEG,Public Service Enterprise Group Inc,Utilities,Utilities - Regulated Electric,39716212736.0,39.72B
ED,Consolidated Edison Inc,Utilities,Utilities - Regulated Electric,39705387008.0,39.71B
TTWO,Take-Two Interactive Software Inc,Communication Services,Electronic Gaming & Multimedia,39314915328.0,39.31B
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,39064662016.0,39.06B
ADM,Archer-Daniels-Midland Co,Consumer Defensive,Farm Products,38672191488.0,38.67B
SYY,Sysco Corp,Consumer Defensive,Food Distribution,37867282432.0,37.87B
IRM,Iron Mountain Inc,Real Estate,REIT - Specialty,37857038336.0,37.86B
PRU,Prudential Financial Inc,Financial Services,Insurance - Life,37684776960.0,37.68B
UAL,United Airlines Holdings Inc,Industrials,Airlines,37494292480.0,37.49B
PCG,PG&E Corp,Utilities,Utilities - Regulated Electric,37327708160.0,37.33B
VMC,Vulcan Materials Co,Basic Materials,Building Materials,37170884608.0,37.17B
WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric,36950319104.0,36.95B
HSY,Hershey Co/The,Consumer Defensive,Confectioners,36848529408.0,36.85B
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,36670959616.0,36.67B
PYPL,PayPal Holdings Inc,Financial Services,Credit Services,36633837568.0,36.63B
EME,EMCOR Group Inc,Industrials,Engineering & Construction,36652527616.0,36.65B
PAYX,Paychex Inc,Technology,Software - Application,36054810624.0,36.05B
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,35604357120.0,35.60B
HIG,Hartford Insurance Group Inc/The,Financial Services,Insurance - Diversified,35532836864.0,35.53B
HBAN,Huntington Bancshares Inc/OH,Financial Services,Banks - Regional,35515330560.0,35.52B
WAT,Waters Corp,Healthcare,Diagnostics & Research,34908016640.0,34.91B
KVUE,Kenvue Inc,Consumer Defensive,Household & Personal Products,34828955648.0,34.83B
MLM,Martin Marietta Materials Inc,Basic Materials,Building Materials,34666299392.0,34.67B
MTB,M&T Bank Corp,Financial Services,Banks - Regional,33957681152.0,33.96B
KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,33954179072.0,33.95B
ROP,Roper Technologies Inc,Technology,Software - Application,33804288000.0,33.80B
LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,33575831552.0,33.58B
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,33357981696.0,33.36B
CASY,Casey's General Stores,Consumer Cyclical,Specialty Retail,33180094464.0,33.18B
HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,33081749504.0,33.08B
SATS,EchoStar,Communication Services,Telecom Services,33061924864.0,33.06B
EQT,EQT Corp,Energy,Oil & Gas E&P,32487327744.0,32.49B
EL,Estee Lauder Cos Inc/The,Consumer Defensive,Household & Personal Products,32445767680.0,32.45B
WDAY,Workday Inc,Technology,Software - Application,32304130048.0,32.30B
NTRS,Northern Trust Corp,Financial Services,Asset Management,32261138432.0,32.26B
CNC,Centene Corp,Healthcare,Healthcare Plans,32190627840.0,32.19B
