Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
APO,Apollo Global Management Inc,Financial Services,Asset Management,78121009152.0,78.12B
MPC,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,78043414528.0,78.04B
MPWR,Monolithic Power Systems Inc,Technology,Semiconductors,77539672064.0,77.54B
MCO,Moody's Corp,Financial Services,Financial Data & Stock Exchanges,77605249024.0,77.61B
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,77482065920.0,77.48B
ROST,Ross Stores Inc,Consumer Cyclical,Apparel Retail,77234462720.0,77.23B
VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing,77137223680.0,77.14B
RCL,Royal Caribbean Cruises Ltd,Consumer Cyclical,Travel Services,76588441600.0,76.59B
NXPI,NXP Semiconductors NV,Technology,Semiconductors,76434350080.0,76.43B
COHR,Coherent,Technology,Scientific & Technical Instruments,74120888320.0,74.12B
ECL,Ecolab Inc,Basic Materials,Specialty Chemicals,74134863872.0,74.13B
ORLY,O'Reilly Automotive Inc,Consumer Cyclical,Auto Parts,73962823680.0,73.96B
EOG,EOG Resources Inc,Energy,Oil & Gas E&P,73777045504.0,73.78B
INTU,Intuit Inc,Technology,Software - Application,73566404608.0,73.57B
ITW,Illinois Tool Works Inc,Industrials,Specialty Industrial Machinery,73391177728.0,73.39B
GM,General Motors Co,Consumer Cyclical,Auto Manufacturers,72994308096.0,72.99B
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,72527142912.0,72.53B
AON,Aon PLC,Financial Services,Insurance Brokers,71672152064.0,71.67B
KMI,Kinder Morgan Inc,Energy,Oil & Gas Midstream,71372414976.0,71.37B
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,71116824576.0,71.12B
SPG,Simon Property Group Inc,Real Estate,REIT - Retail,83333324800.0,83.33B
NSC,Norfolk Southern Corp,Industrials,Railroads,70612353024.0,70.61B
CTAS,Cintas Corp,Industrials,Specialty Business Services,70308052992.0,70.31B
TDG,TransDigm Group Inc,Industrials,Aerospace & Defense,70144344064.0,70.14B
CRH,CRH PLC,Basic Materials,Building Materials,70167707648.0,70.17B
LITE,Lumentum Holdings,Technology,Communication Equipment,70149922816.0,70.15B
AEP,American Electric Power Co Inc,Utilities,Utilities - Regulated Electric,69890285568.0,69.89B
BSX,Boston Scientific Corp,Healthcare,Medical Devices,68684472320.0,68.68B
MSI,Motorola Solutions Inc,Technology,Communication Equipment,68473180160.0,68.47B
URI,United Rentals Inc,Industrials,Rental & Leasing Services,67559616512.0,67.56B
NKE,NIKE Inc,Consumer Cyclical,Footwear & Accessories,67032350720.0,67.03B
WBD,Warner Bros Discovery Inc,Communication Services,Entertainment,66877870080.0,66.88B
FIX,Comfort Systems USA Inc,Industrials,Engineering & Construction,66050158592.0,66.05B
DASH,DoorDash Inc,Consumer Cyclical,Internet Retail,64678088704.0,64.68B
DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,65793376256.0,65.79B
REGN,Regeneron Pharmaceuticals Inc,Healthcare,Biotechnology,64361209856.0,64.36B
RSG,Republic Services Inc,Industrials,Waste Management,64304869376.0,64.30B
TFC,Truist Financial Corp,Financial Services,Banks - Regional,64088031232.0,64.09B
TRV,Travelers Cos Inc/The,Financial Services,Insurance - Property & Casualty,64137887744.0,64.14B
HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,63959027712.0,63.96B
CIEN,Ciena,Technology,Communication Equipment,63680413696.0,63.68B
APD,Air Products and Chemicals Inc,Basic Materials,Specialty Chemicals,63606513664.0,63.61B
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,62882271232.0,62.88B
GWW,WW Grainger Inc,Industrials,Industrial Distribution,62181568512.0,62.18B
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,62125457408.0,62.13B
TER,Teradyne Inc,Technology,Semiconductor Equipment & Materials,61866242048.0,61.87B
TGT,Target Corp,Consumer Defensive,Discount Stores,61488394240.0,61.49B
TEL,TE Connectivity PLC,Technology,Electronic Components,61008416768.0,61.01B
NUE,Nucor Corp,Basic Materials,Steel,60744204288.0,60.74B
SRE,Sempra,Utilities,Utilities - Diversified,60533305344.0,60.53B
AFL,Aflac Inc,Financial Services,Insurance - Life,59843899392.0,59.84B
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,59683721216.0,59.68B
KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,59363921920.0,59.36B
TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream,58869313536.0,58.87B
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,58555060224.0,58.56B
O,Realty Income Corp,Real Estate,REIT - Retail,58406670336.0,58.41B
LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,57475715072.0,57.48B
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,57517694976.0,57.52B
OKE,ONEOK Inc,Energy,Oil & Gas Midstream,57496797184.0,57.50B
PSA,Public Storage,Real Estate,REIT - Industrial,57431547904.0,57.43B
MET,MetLife Inc,Financial Services,Insurance - Life,57227272192.0,57.23B
OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P,56898080768.0,56.90B
ALL,Allstate Corp/The,Financial Services,Insurance - Property & Casualty,56632012800.0,56.63B
AJG,Arthur J Gallagher & Co,Financial Services,Insurance Brokers,56229187584.0,56.23B
FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,54899699712.0,54.90B
COR,Cencora Inc,Healthcare,Medical Distribution,54551031808.0,54.55B
FAST,Fastenal Co,Industrials,Industrial Distribution,53624832000.0,53.62B
DAL,Delta Air Lines Inc,Industrials,Airlines,53548322816.0,53.55B
DVN,Devon Energy Corp,Energy,Oil & Gas E&P,52214558720.0,52.21B
CAH,Cardinal Health Inc,Healthcare,Medical Distribution,52040540160.0,52.04B
AME,AMETEK Inc,Industrials,Specialty Industrial Machinery,51843428352.0,51.84B
ROK,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery,51113689088.0,51.11B
MCHP,Microchip Technology Inc,Technology,Semiconductors,50795540480.0,50.80B
ODFL,Old Dominion Freight Line Inc,Industrials,Trucking,50833686528.0,50.83B
EA,Electronic Arts Inc,Communication Services,Electronic Gaming & Multimedia,50799742976.0,50.80B
ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,50536972288.0,50.54B
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,50556100608.0,50.56B
AZO,AutoZone Inc,Consumer Cyclical,Auto Parts,50433216512.0,50.43B
VST,Vistra Corp,Utilities,Utilities - Independent Power Producers,49899634688.0,49.90B
NDAQ,Nasdaq Inc,Financial Services,Financial Data & Stock Exchanges,49739313152.0,49.74B
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,49384919040.0,49.38B
XEL,Xcel Energy Inc,Utilities,Utilities - Regulated Electric,49242382336.0,49.24B
EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,48110968832.0,48.11B
EBAY,eBay Inc,Consumer Cyclical,Internet Retail,47754420224.0,47.75B
EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,47200591872.0,47.20B
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships,71063986176.0,71.06B
STT,State Street Corp,Financial Services,Asset Management,46233935872.0,46.23B
GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments,46085881856.0,46.09B
ON,ON Semiconductor Corp,Technology,Semiconductors,45083676672.0,45.08B
